CSR Name,CSR Address,CSR Width,Reset Value,Export from Module (Y/N),Volatile (Y/N)
mhpmcounterh23,B97,32,0,N,N
mhpmcounterh24,B98,32,0,N,N
mhpmcounterh25,B99,32,0,N,N
mhpmcounterh26,B9A,32,0,N,N
mhpmcounterh27,B9B,32,0,N,N
mhpmcounterh28,B9C,32,0,N,N
mhpmcounterh29,B9D,32,0,N,N
mhpmcounterh30,B9E,32,0,N,N
mhpmcounterh31,B9F,32,0,N,N
tselect,7A0,32,0,N,N
tdata1,7A1,32,0,N,N
tdata2,7A2,32,0,N,N
tdata3,7A3,32,0,N,N
mcontext,7A8,32,0,N,N
dcsr,7B0,32,0,N,N
dpc,7B1,32,0,N,N
dscratch0,7B2,32,0,N,N
dscratch1,7B3,32,0,N,N
